Name,Description,Strengths,Weaknesses,Height,Weight,40 time,RAS
Quinshon Judkins,"Judkins is a complete running back with an impressive blend of power, balance, and vision. He runs with excellent pad level and leg drive, consistently falling forward and breaking tackles for extra yardage. Judkins demonstrates outstanding vision and patience, setting up blocks and finding cutback lanes effectively. His contact balance is exceptional, bouncing off tackles and maintaining momentum through traffic. As a receiver, Judkins shows developing hands and route-running ability, creating mismatches against linebackers in coverage.","Vision and patience, contact balance, power through tackles, tackle-breaking ability, three-down potential, short-yardage effectiveness, competitive toughness, consistency","Top-end speed is good not elite, still developing as a receiver, needs refinement in pass protection technique, occasionally tries to create too much instead of taking available yards",6-0,221,4.48,9.9
Jayden Higgins,"Higgins is a physically imposing receiver with excellent size, length, and developing route-running ability. He uses his frame effectively to box out defenders and create throwing windows for his quarterback. Higgins shows improving route-running detail, with better breaks and separation at the top of routes. At the catch point, he displays good body control and adjustment to the ball in the air. Higgins' hands are reliable, plucking the ball away from his frame and securing it through contact. After the catch, he shows good vision and strength to break tackles.","Size and length, contested catch ability, red zone effectiveness, hands, developing route-running, physicality, catch radius, competitive toughness","Still developing route detail against press coverage, separation quickness is good not great, needs to improve release package, can be more consistent as a blocker",6-4,214,4.47,9.63
Josaiah Stewart,"Stewart is an explosive edge defender with impressive burst, bend, and developing technical refinement. His first-step quickness stresses offensive tackles, and his flexibility allows him to turn tight corners around the edge. Stewart shows developing hand usage, with improving technique to disengage from blocks. In run defense, he sets a solid edge with the strength to hold his ground against tight ends and tackles. Stewart's motor runs consistently hot, pursuing plays with relentless effort and finishing tackles with authority.","First-step explosion, bend around the edge, motor, pursuit effort, developing hand technique, closing burst to the quarterback, athletic traits, developmental upside","Still adding functional strength particularly against the run, needs to expand pass rush arsenal, can improve consistency against the run, developing counter moves",6-1,249,4.7,
Darien Porter,"Porter is an athletic defensive back with excellent size, length, and developing coverage skills. He possesses the speed to carry receivers vertically and the hip fluidity to change direction smoothly. Porter shows improving route recognition, anticipating breaks and closing quickly on underneath routes. His ball skills continue to develop, showing better timing and play on the ball in the air. Porter tackles with good form, breaking down in space and taking proper angles in pursuit.","Size-length-speed combination, athletic traits, developing ball skills, tackling technique, competitive toughness, man coverage potential, developmental upside","Still developing route recognition consistency, needs to improve zone awareness, can enhance press technique, occasional false steps in transition",6-3,195,4.3,9.99
Elic Ayomanor,"Ayomanor is a physically gifted receiver with excellent size, strength, and playmaking ability. He uses his frame effectively to shield defenders and make contested catches in traffic. Ayomanor shows developing route-running precision, with improving breaks and separation at the top of routes. His hands are reliable, plucking the ball away from his frame and securing it through contact. After the catch, Ayomanor displays good power and balance, breaking tackles and creating additional yardage. His competitive toughness shows in his willingness to work the middle of the field and block in the run game.","Size and strength, contested catch ability, run-after-catch power, developing route-running, competitive toughness, red zone effectiveness, blocking willingness, physical traits","Still refining route details, can improve release package against press, occasionally body catches, needs more consistency creating separation",6-2,206,4.44,9.71
Bradyn Swinson,"Swinson is an athletic edge defender with good burst, power, and developing technical refinement. He possesses good first-step quickness to stress offensive tackles, complemented by the strength to set a firm edge in the run game. Swinson demonstrates developing hand usage, with improving technique to disengage from blocks. His motor runs consistently hot, pursuing plays with relentless effort and finishing tackles with authority. In run defense, he maintains gap integrity with good discipline.","First-step quickness, edge-setting ability, motor, pursuit effort, developing hand technique, run defense discipline, physical traits, competitive toughness","Still developing pass rush plan, needs to expand move arsenal, can improve bend around the edge, developing counter moves when initial rush is stalled",6-4,255,4.8,
Joshua Farmer,"Farmer is a disruptive interior defensive lineman with good quickness and developing power. He possesses quick first-step quickness that allows him to penetrate gaps and affect plays in the backfield. Farmer shows developing hand usage, with improving technique to shed blocks and affect the passer. His motor runs consistently, pursuing plays with effort and finishing tackles with authority. In run defense, Farmer demonstrates the strength to hold his ground and maintain gap integrity.","First-step quickness, penetration ability, motor, developing hand technique, pursuit effort, interior disruptiveness, gap integrity, athletic traits","Still adding functional strength, needs to expand pass rush moves beyond initial quickness, can improve consistency maintaining gap discipline, developing counter moves",6-3,305,5.11,7.89
Jack Bech,"Bech is a versatile receiving threat with reliable hands and excellent route-running precision. He creates separation with detailed footwork and subtle body manipulation at the top of routes. Bech displays outstanding body control and adjustment to the ball in the air, making difficult catches look routine. His hands are exceptional, rarely dropping catchable passes and plucking the ball away from his frame. After the catch, Bech shows good vision and elusiveness to create additional yardage. His football intelligence is evident in how he finds soft spots against zone coverage.","Route-running precision, reliable hands, body control, yards-after-catch ability, positional versatility, competitive toughness, football intelligence, zone coverage awareness","Lacks elite size or top-end speed, occasionally struggles against physical press coverage, could improve play strength, still developing as a blocker",6-1,214,4.55,9.5
Jalen Royals,"Royals is a dynamic playmaker with exceptional speed, acceleration, and big-play ability. He creates separation with his elite burst and route-running precision, consistently stressing defenses vertically. Royals displays good body control and adjustment to the ball in the air, tracking deep passes effectively. His hands continue to develop, showing more consistency catching the ball away from his frame. After the catch, Royals is electric, with the vision and elusiveness to turn short completions into explosive gains.","Vertical speed, acceleration, big-play ability, route-running precision, tracking deep balls, yards-after-catch ability, competitive toughness, playmaking instincts","Slender frame may limit durability, still developing consistency with hands, can improve play strength through contact, needs refinement as a blocker",6-0,205,4.42,9
Jordan Burch,"Burch is a versatile defensive front player with excellent size, strength, and athleticism. He demonstrates good first-step quickness for his size, with the ability to penetrate gaps and affect plays in the backfield. Burch displays good hand usage and leverage awareness, effectively shedding blocks to make plays. His motor runs consistently hot, pursuing plays with relentless effort and finishing tackles with authority. In run defense, Burch sets a strong edge and maintains gap integrity with good discipline.","Size-strength-athleticism combination, versatility along defensive front, hand usage, motor, edge-setting ability, run defense discipline, pursuit effort, physical traits","Still developing as a pass rusher, needs to expand move arsenal, can improve bend around the edge, occasional lapses in gap discipline",6-4,279,4.67,
Harold Fannin Jr,"Fannin is an athletic tight end with impressive receiving skills and developing blocking ability. He creates separation with fluid route running and good footwork at the top of routes. Fannin's hands are reliable, catching the ball cleanly away from his body and securing it through contact. His athleticism allows him to be a vertical threat up the seam, with the speed to stretch defenses and create mismatches against linebackers. After the catch, Fannin shows good vision and enough strength to break tackles. As a blocker, he displays proper technique and competitive toughness despite his leaner frame.","Athleticism, route-running ability, reliable hands, seam-stretching capability, yards-after-catch ability, red zone potential, competitive toughness, developmental upside","Still developing as a blocker, needs improved play strength at point of attack, occasionally body catches instead of using hands, needs more consistent blocking technique",6-3,241,4.71,7.77
Dylan Sampson,"Sampson is an explosive running back with exceptional speed, quickness, and big-play potential. He possesses elite acceleration, hitting top speed quickly and outrunning pursuit angles. Sampson demonstrates good vision and patience, setting up blocks and finding cutback lanes effectively. His contact balance continues to improve, showing better ability to run through arm tackles and maintain momentum after contact. As a receiver, Sampson displays natural hands and route-running ability, creating mismatches in space.","Elite acceleration and speed, big-play ability, vision, receiving skills, elusiveness, third-down potential, competitive toughness, versatility","Smaller frame may limit durability between the tackles, still developing power in short-yardage situations, needs refinement in pass protection technique",5-8,200,4.35,6.6
Jalen Milroe,"Milroe is a dynamic dual-threat quarterback with exceptional athleticism and developing passing skills. His elite speed and acceleration make him a constant threat as a runner, whether on designed runs or scrambles. Milroe possesses impressive arm strength, able to drive the ball downfield and fit throws into tight windows. His release has quickened, allowing him to get the ball out faster under pressure. Milroe demonstrates improving pocket presence, showing better ability to go through progressions while maintaining proper depth. His leadership and competitive toughness are evident in how he performs in critical situations.","Elite athleticism as a runner, exceptional arm strength, quick release, big-play ability, leadership qualities, competitive toughness, improvisational skills, developmental upside","Still developing consistency with accuracy, needs to improve processing speed and anticipation, occasionally relies too much on athleticism, developing field vision as a passer",6-2,217,4.5,
Kyle Kennard,"Kennard is an explosive edge defender with excellent first-step quickness, bend, and motor. His burst off the line stresses offensive tackles, forcing them to overcompensate for his speed. Kennard demonstrates developing hand usage, with improving technique to disengage from blocks. His flexibility allows him to flatten to the quarterback after turning the corner, closing quickly to finish plays. In run defense, Kennard sets a solid edge with improving strength and leverage awareness. His relentless motor shows in his pursuit effort, chasing plays from the backside and never giving up on the play.","First-step explosion, bend around the edge, motor, pursuit effort, closing burst to the quarterback, developing hand technique, athletic traits, pass rush potential","Still adding functional strength particularly against the run, needs to expand pass rush arsenal, can improve consistency against the run, developing counter moves",6-4,254,4.73,8.57
Gunnar Helm,"Helm is a well-rounded tight end with good size, hands, and blocking ability. He displays solid route-running skills, creating separation with precise breaks and good footwork. Helm's hands are reliable, catching the ball cleanly away from his body and securing it through contact. As a blocker, he demonstrates proper technique and competitive toughness, effectively sealing the edge in the run game and showing the ability to move defenders. Helm's football intelligence is evident in how he finds soft spots against zone coverage and adjusts his routes based on coverage.","Balanced skill set, reliable hands, blocking technique, size, football intelligence, competitive toughness, red zone effectiveness, consistency","Lacks elite athleticism or separation quickness, still developing as a vertical threat, can improve play strength at the point of attack, needs refinement in route details",6-5,241,4.84,4.32
Andrew Mukuba,"Mukuba is a versatile defensive back with excellent instincts, quickness, and physicality. He processes information rapidly, reading plays and triggering downhill with decisiveness. Mukuba displays fluid movement skills, with the ability to change direction smoothly and match up in coverage. His tackling is a strength, taking proper angles and finishing with good form and physicality. Mukuba demonstrates versatility to play multiple positions in the secondary, with the awareness and football IQ to handle various responsibilities.","Instincts, quickness, tackling ability, versatility, play recognition, football intelligence, physicality, competitive toughness","Size limitations may affect matchups against larger tight ends, occasionally overaggressive leading to missed tackles, still developing consistency in deep coverage",5-11,186,4.45,5.12
Ozzy Trapilo,"Trapilo is a big-bodied offensive lineman with good strength and developing technical refinement. He displays solid initial quickness in pass protection, with a strong anchor to absorb bull rushes. Trapilo shows improving hand placement and the ability to reset when initially pushed back. In the run game, he generates movement at the point of attack with leg drive and competitive toughness. Trapilo's football IQ is evident in how he handles stunts and blitzes, working well in combination with his fellow linemen.","Size and length, anchor strength, improving hand placement, awareness of stunts/blitzes, drive blocking ability, competitive toughness, developmental upside","Athletic limitations against elite quickness, needs more consistent hand placement, can improve body control in space, occasionally plays too high affecting leverage",6-8,316,5.21,8.88
Cameron Skattebo,"Skattebo is a powerful, compact running back with exceptional contact balance and competitive toughness. He runs with excellent pad level and leg drive, consistently falling forward and breaking tackles for extra yardage. Skattebo demonstrates good vision and patience, setting up blocks and finding cutback lanes effectively. His contact balance is a significant asset, bouncing off tackles and maintaining momentum through traffic. As a receiver, Skattebo shows developing hands and route-running ability, creating mismatches against linebackers in coverage.","Contact balance, power through tackles, tackle-breaking ability, vision, competitive toughness, pass protection willingness, three-down potential, short-yardage effectiveness","Top-end speed is just adequate, still developing as a receiver, occasional indecisiveness hitting the hole, needs to improve top-end acceleration",5-10,219,4.62,7.45
Tate Ratledge,"Ratledge is a powerful interior offensive lineman with good athleticism and technical refinement. He displays impressive strength at the point of attack, moving defenders in the run game with powerful drive blocking. In pass protection, Ratledge shows a strong anchor and good lateral mobility to mirror interior rushers. His hand placement is consistently inside, and he resets effectively when defenders try to disengage. Ratledge demonstrates excellent awareness of stunts and blitzes, working well in combination with his fellow linemen.","Power at point of attack, technical refinement, hand placement, awareness of stunts/blitzes, drive blocking ability, strong anchor, competitive toughness, finishing mentality","Athletic limitations against elite quickness, occasionally plays too high affecting leverage, can improve body control working to the second level",6-6,308,4.97,9.96
Denzel Burke,"Burke is a technically refined cornerback with excellent athletic traits and coverage skills. He possesses outstanding speed and change-of-direction ability, allowing him to match up with receivers in man coverage and recover when initially beaten. Burke shows good route recognition, anticipating breaks and closing quickly on underneath routes. His ball skills continue to develop, showing better timing and play on the ball in the air. Burke tackles with good form, breaking down in space and taking proper angles in pursuit.","Speed, technique, change-of-direction ability, route recognition, recovery speed, man coverage ability, tackling form, competitive toughness","Still developing ball production skills, occasional false steps in transition, needs to improve consistency in zone coverage, can enhance play strength against physical receivers",5-11,186,4.48,
Demetrius Knight,"Knight is a versatile linebacker with excellent athletic traits and developing instincts. He possesses exceptional speed and explosiveness for the position, allowing him to excel in pursuit and as a blitzer. Knight demonstrates fluid movement skills in coverage, with the ability to match up with running backs and tight ends in man coverage. His processing continues to develop, showing improved play recognition and trigger. Knight takes on blocks effectively with strong hands to disengage.","Athleticism, speed, blitzing ability, coverage potential, tackling in space, pursuit range, positional versatility, developmental upside","Still developing play recognition consistency, occasional false steps in run fits, can improve block destruction, needs more experience reading offensive concepts",6-2,235,4.58,8.17
Quinn Ewers,"Ewers is a naturally gifted passer with exceptional arm talent and developing consistency. He possesses elite arm strength, able to drive the ball downfield and make off-platform throws with velocity. Ewers displays impressive accuracy when in rhythm, delivering the ball with good ball placement and anticipation. His release is quick and compact, allowing him to get the ball out efficiently. Ewers shows improved pocket presence, sensing pressure and finding throwing lanes while keeping his eyes downfield. His football intelligence continues to develop, showing better understanding of defensive structures and coverage concepts.","Elite arm talent, release quickness, accuracy when in rhythm, off-platform throwing ability, touch on deep balls, anticipation, competitive toughness, developmental upside","Occasional inconsistency with mechanics affects accuracy, still developing pocket awareness, decision-making can be improved, needs more consistency under pressure",6-2,214,4.74,
Jared Ivey,"Ivey is a long, athletic edge defender with impressive physical tools and developing technical refinement. He possesses exceptional length and first-step quickness, allowing him to stress offensive tackles and establish leverage in the run game. Ivey demonstrates developing hand usage, with improving technique to disengage from blocks. His motor runs consistently hot, pursuing plays from the backside and chasing screens with relentless effort. Against the run, Ivey sets a strong edge with the length and strength to control tight ends and tackles.","Length, first-step quickness, motor, pursuit effort, athletic traits, edge-setting ability, developing pass rush, positional versatility","Still developing technical refinement as a pass rusher, needs to expand move arsenal, can improve hand placement consistency, developing counter moves",6-6,274,4.75,2
Jared Wilson,"Wilson is a powerful interior offensive lineman with good technical refinement and competitive toughness. He displays impressive strength at the point of attack, moving defenders in the run game with powerful drive blocking. In pass protection, Wilson shows a strong anchor and the ability to reset when initially pushed back. His hand placement is consistently inside, and he resets effectively when defenders try to disengage. Wilson demonstrates good awareness of stunts and blitzes, working well in combination with his fellow linemen.","Power at point of attack, technical refinement, anchor strength, hand placement, awareness of stunts/blitzes, drive blocking ability, competitive toughness, finishing mentality","Athletic limitations against elite quickness, occasionally plays too high affecting leverage, can improve lateral mobility, needs to maintain consistent pad level",6-3,310,4.84,9.84
Tai Felton,"Felton is a dynamic receiving threat with excellent speed, route-running precision, and reliable hands. He creates separation with detailed footwork and sudden breaks at the top of routes. Felton displays good body control and adjustment to the ball in the air, making difficult catches look routine. His hands are reliable, catching the ball cleanly away from his frame. After the catch, Felton shows good vision and elusiveness, turning short completions into bigger gains. His football intelligence is evident in how he finds soft spots against zone coverage.","Route-running precision, reliable hands, separation quickness, body control, yards-after-catch ability, football intelligence, competitive toughness, versatility","Size limitations may affect contested catch situations, still developing play strength through contact, needs to improve as a blocker, occasional concentration drops",6-1,183,4.37,9.62
Jaylin Noel,"Noel is an explosive playmaker with exceptional quickness, acceleration, and versatility. He creates separation with his elite short-area quickness and route-running precision, consistently stressing defenses from various alignments. Noel displays good body control and adjustment to the ball in the air. His hands are reliable, catching the ball cleanly away from his frame. After the catch, Noel is electric, with the vision and elusiveness to turn short completions into explosive gains. His versatility shows in his ability to contribute as a runner on jet sweeps and as a return specialist.","Short-area quickness, route-running precision, yards-after-catch ability, positional versatility, acceleration, return game value, competitive toughness, playmaking instincts","Size limitations may affect durability and contested catch situations, still developing play strength through contact, can improve as a blocker, occasional body catching",5-10,194,4.39,9.75
Isaiah Bond,"Bond is a dynamic receiver with exceptional speed, quickness, and big-play potential. He possesses elite acceleration, quickly reaching top speed and stressing defenses vertically. Bond creates separation with his route-running precision and explosive breaks. His hands continue to develop, showing more consistency catching the ball away from his frame. After the catch, Bond is electric, with the vision and elusiveness to turn short completions into explosive gains. His versatility shows in his ability to contribute from multiple alignments and in the return game.","Elite speed and acceleration, big-play ability, route-running precision, separation quickness, yards-after-catch ability, positional versatility, competitive toughness, return potential","Slender frame may limit durability and contested catch ability, still developing consistency with hands, needs to improve play strength through contact, developing as a blocker",5-11,180,4.39,4.22
Kevin Winston Jr,"Winston is a versatile defensive back with excellent size, athleticism, and developing coverage skills. He possesses good speed and change-of-direction ability, allowing him to match up with receivers and tight ends in man coverage. Winston shows improving route recognition, anticipating breaks and closing quickly on underneath routes. His tackling is a strength, taking proper angles and finishing with physicality. Winston demonstrates the versatility to play multiple positions in the secondary, with the awareness and football IQ to handle various responsibilities.","Size-athleticism combination, tackling ability, versatility, play recognition, physical style of play, closing quickness, competitive toughness, developmental upside","Still developing coverage consistency, occasional false steps in transition, needs to improve ball skills, can enhance route recognition in zone coverage",6-2,215,4.45,
Tez Johnson,"Johnson is an explosive slot receiver with exceptional quickness, route-running precision, and playmaking ability after the catch. Despite his smaller stature, he creates consistent separation with his elite short-area quickness and detailed route running. Johnson displays reliable hands, catching the ball cleanly away from his frame. After the catch, he is dynamic, with the vision, elusiveness, and competitive toughness to break tackles and create additional yardage. His football intelligence shows in how he finds soft spots against zone coverage and adjusts his routes based on coverage.","Elite short-area quickness, route-running precision, reliable hands, exceptional after-catch ability, competitive toughness, football intelligence, positional versatility, return game value","Size limitations may affect contested catch situations and durability, still developing play strength through contact, needs to improve against press coverage, smaller catch radius",5-10,154,4.51,7.29
Barrett Carter,"Carter is an athletic, versatile linebacker with sideline-to-sideline range and playmaking ability. He possesses exceptional speed and explosiveness for the position, allowing him to excel in pursuit and as a blitzer. Carter demonstrates fluid movement skills in coverage, with the ability to match up with running backs and tight ends in man coverage and the awareness to pattern-match in zone. His processing continues to develop, showing improved play recognition and trigger. Carter takes on blocks effectively with strong hands to disengage and find the ball carrier.","Elite athleticism, versatility, coverage ability, blitzing prowess, tackling in space, pursuit range, competitive toughness, developmental upside","Still developing play recognition consistency, occasional false steps in run fits, can improve block destruction when taking on offensive linemen, developing consistency in zone drops",6-0,231,4.55,7.45
Ashton Gillotte,"Gillotte is an explosive edge defender with impressive burst, bend, and developing technical refinement. His first-step quickness stresses offensive tackles, and his flexibility allows him to turn tight corners around the edge. Gillotte shows developing hand usage, with improving technique to disengage from blocks. His motor runs consistently hot, pursuing plays with relentless effort and finishing tackles with authority. In run defense, he sets a solid edge with the strength to hold his ground against tight ends and tackles.","First-step explosion, bend around the edge, motor, pursuit effort, developing hand technique, closing burst to the quarterback, competitive toughness, pass rush potential","Still adding functional strength particularly against the run, needs to expand pass rush arsenal beyond speed rush, can improve consistency against the run, developing counter moves",6-3,264,4.75,9.75
Shemar Turner,"Turner is a versatile defensive lineman with impressive physical tools and developing technical refinement. He possesses good first-step quickness for his size, with the ability to penetrate gaps and affect plays in the backfield. Turner demonstrates good hand usage and leverage awareness, effectively shedding blocks to make plays. His motor runs consistently hot, pursuing plays with relentless effort and finishing tackles with authority. In run defense, Turner shows the strength to hold his ground against double teams and maintain gap integrity.","Versatility along defensive front, first-step quickness, hand usage, motor, strength at point of attack, run defense ability, block shedding, competitive toughness","Still developing as a pass rusher, needs to expand move arsenal, can improve consistency with pad level, occasional lapses in gap discipline",6-3,290,4.8,
Terrance Ferguson,"Ferguson is a versatile tight end with good size, reliable hands, and developing blocking ability. He creates separation with fluid route running and good footwork at the top of routes. Ferguson's hands are consistent, catching the ball cleanly away from his body and securing it through contact. His frame and body control allow him to be effective in contested catch situations and in the red zone. After the catch, Ferguson shows good vision and enough strength to break tackles. As a blocker, he displays proper technique and competitive toughness.","Size, reliable hands, route-running ability, red zone effectiveness, contested catch ability, positional versatility, developing blocking skills, competitive toughness","Still adding functional strength for inline blocking, athletic limitations against elite coverage defenders, needs more consistency as a blocker, can improve route detail against zone coverage",6-5,247,4.63,9.32
Xavier Restrepo,"Restrepo is a reliable slot receiver with exceptional route-running precision, reliable hands, and competitive toughness. He creates separation with detailed footwork and sudden breaks at the top of routes. Restrepo displays outstanding body control and adjustment to the ball in the air, making difficult catches look routine. His hands are exceptional, rarely dropping catchable passes and plucking the ball away from his frame. After the catch, Restrepo shows good vision and enough elusiveness to create additional yardage. His football intelligence is evident in how he finds soft spots against zone coverage.","Route-running precision, reliable hands, body control, football intelligence, competitive toughness, zone coverage awareness, consistency, third-down reliability","Lacks elite size or top-end speed, athletic limitations against elite defenders, could improve play strength, limited as a deep threat, smaller catch radius",5-10,209,4.45,3.94
Tyler Shough,"Shough is a physically gifted quarterback with good size, arm strength, and developing consistency. He possesses the arm talent to make all the throws, driving the ball downfield and fitting passes into tight windows. Shough displays solid accuracy when in rhythm, delivering the ball with good ball placement. His pocket presence continues to develop, showing better ability to sense pressure and find throwing lanes. Shough demonstrates mobility to extend plays and pick up yards when needed. His football intelligence shows in pre-snap recognition and adjustments.","Size, arm strength, accuracy when in rhythm, mobility, pre-snap recognition, competitive toughness, developmental upside, play-action effectiveness","Inconsistent mechanics affect accuracy, decision-making can be improved, needs to develop better pocket awareness, durability concerns due to injury history, processing speed can improve",6-5,219,4.63,9.71
Jordan Phillips,"Phillips is a disruptive interior defensive lineman with good quickness, power, and developing technical refinement. He possesses quick first-step quickness that allows him to penetrate gaps and affect plays in the backfield. Phillips shows developing hand usage, with improving technique to shed blocks and affect the passer. His motor runs consistently hot, pursuing plays with relentless effort and finishing tackles with authority. In run defense, Phillips demonstrates the strength to hold his ground and maintain gap integrity.","First-step quickness, penetration ability, motor, developing hand technique, pursuit effort, interior disruptiveness, gap integrity, athletic traits","Still developing consistency with pad level, needs to expand pass rush moves beyond bull rush, can improve lateral pursuit range, occasional lapses in gap discipline",6-2,312,5.1,6.76
Savion Williams,"Williams is a physically imposing receiver with excellent size, length, and developing route-running ability. He uses his frame effectively to box out defenders and create throwing windows for his quarterback. Williams shows improving route-running detail, with better breaks and separation at the top of routes. At the catch point, he displays good body control and adjustment to the ball in the air. Williams' hands are reliable, plucking the ball away from his frame and securing it through contact. After the catch, he shows good vision and strength to break tackles.","Size and length, contested catch ability, red zone effectiveness, hands, developing route-running, physicality, catch radius, competitive toughness","Still developing route detail against press coverage, separation quickness is good not great, needs to improve release package, can be more consistent as a blocker",6-4,222,4.48,
Billy Bowman Jr,"Bowman is an instinctive, athletic defensive back with excellent ball skills and versatility in the secondary. He possesses outstanding short-area quickness and change-of-direction skills, allowing him to mirror receivers in man coverage. Bowman shows natural route recognition in zone, jumping patterns with anticipation and closing quickly on throws. His ball skills are exceptional, with the ability to high-point passes and the hands to secure interceptions. In run support, Bowman takes proper angles and tackles with good form despite his smaller frame.","Elite short-area quickness, exceptional route recognition, ball skills, tackling technique, versatility in coverage, competitive toughness, instinctive playmaker, football intelligence","Size limitations may affect matchups against larger receivers, occasionally overaggressive jumping routes, can improve play strength against physical receivers and blockers",5-10,192,4.42,7.6
Anthony Belton,"Belton is a massive offensive tackle with rare size, length, and developmental upside. He displays impressive movement skills for his size, with the lateral agility to mirror speed rushers. Belton's length is a significant asset, allowing him to establish first contact and keep defenders at bay. In pass protection, he shows a strong anchor to absorb bull rushes. In the run game, Belton demonstrates good power to move defenders off the ball and the mobility to work to the second level. His competitive toughness shows in how he finishes blocks with physicality.","Exceptional size and length, movement skills for size, strong anchor, run blocking power, second level mobility, competitive toughness, developmental upside, physical traits","Still developing technical consistency in pass protection, needs to improve hand placement, occasionally plays too high affecting leverage, developing pass sets against speed rushers",6-6,336,5.26,7.73
Zy Alexander,"Alexander is a lengthy, athletic cornerback with excellent ball skills and coverage versatility. He possesses the speed to carry receivers vertically and the hip fluidity to change direction smoothly. Alexander shows natural instincts in coverage, anticipating routes and breaking on passes with good timing. His ball skills are a significant asset, with the ability to high-point passes and the hands to secure interceptions. Alexander tackles with proper form, taking good angles and finishing with physicality despite his leaner frame.","Length, athleticism, ball skills, coverage instincts, tackling form, versatility, competitive toughness, playmaking ability","Still adding functional strength for press coverage and run support, occasional false steps in transition, developing consistency in zone coverage, can improve play recognition",6-1,187,4.56,3.48
Charles Grant,"Grant is a technically refined offensive tackle with excellent length and pass protection fundamentals. His kick-slide is smooth and efficient, allowing him to reach his set points and cut off edge rushers. Grant demonstrates good hand placement and the ability to reanchor against power rushes. His football intelligence stands out in his ability to identify stunts and blitzes pre-snap and adjust accordingly. In the run game, he displays good drive blocking ability when playing with proper leverage and leg drive. Grant's length creates a wide pass protection radius that makes it difficult for defenders to get around him, providing a significant margin for error in his technique.","Length, pass protection fundamentals, hand placement, football IQ, kick-slide technique, reanchor ability, pass protection radius, technical refinement","Play strength can be inconsistent, sometimes struggles to generate movement in the run game, pad level can rise in extended drives, lateral agility against elite speed rushers needs improvement, sometimes overextends in space",6-5,311,5.15,5.76
Chris Paul Jr,"Paul is an instinctive linebacker with excellent play recognition and tackling ability. He processes quickly, recognizing plays and triggering downhill with decisiveness. Paul takes proper angles in pursuit, limiting cutback lanes and finishing tackles with good form. In coverage, he shows awareness in zone and the athleticism to match up with running backs in man coverage. Paul's football IQ is evident in how he communicates and adjusts the defense pre-snap, quickly recognizing offensive formations and tendencies.","Play recognition, tackling technique, football intelligence, communication skills, zone coverage awareness, block shedding, reliability, consistency","Athletic limitations against elite athletes in space, still developing man coverage technique, needs to improve disengaging from offensive linemen at point of attack",6-1,222,4.63,6.13
Smael Mondon Jr,"Mondon is an athletic, rangy linebacker with sideline-to-sideline pursuit ability and developing instincts. He possesses exceptional speed and explosiveness for the position, allowing him to excel in pursuit and as a blitzer. Mondon demonstrates fluid movement skills in coverage, with the ability to match up with running backs and tight ends in man coverage. His processing continues to develop, showing improved play recognition and trigger. Mondon takes on blocks effectively with strong hands to disengage and find the ball carrier.","Athleticism, range, pursuit speed, coverage potential, blitzing ability, tackling in space, competitive toughness, developmental upside","Still developing play recognition consistency, occasional false steps in run fits, can improve block destruction when taking on offensive linemen, developing consistency in zone drops",6-2,224,4.58,9.42
Will Howard,"Howard is a big, physical quarterback with good arm strength, mobility, and leadership qualities. He possesses the size and arm talent to make all the throws, driving the ball downfield and fitting passes into tight windows. Howard displays improved accuracy, particularly in the intermediate areas of the field. His pocket presence continues to develop, showing better ability to sense pressure and extend plays when needed. Howard demonstrates good athleticism for his size, effectively using his legs on designed runs and scrambles. His leadership and competitive toughness are evident in how he performs in critical situations.","Size, arm strength, mobility for size, leadership qualities, competitive toughness, toughness in pocket, red zone effectiveness, play-action passing","Inconsistent mechanics affect accuracy, decision-making can be improved under pressure, processing speed can be enhanced, occasionally forces throws into coverage",6-4,236,4.85,8.79
Jacob Parrish,"Parrish is an athletic cornerback with good ball skills and developing technical refinement. He possesses excellent speed and change-of-direction ability, allowing him to match up with receivers in man coverage and recover when initially beaten. Parrish shows improving route recognition, anticipating breaks and closing quickly on underneath routes. His ball skills are a significant asset, with the ability to high-point passes and the hands to secure interceptions. Parrish tackles with good form despite his leaner frame, breaking down in space and taking proper angles in pursuit.","Speed, athleticism, ball skills, recovery ability, man coverage potential, tackling technique, competitive toughness, developmental upside","Still developing play strength against physical receivers, needs to improve press technique, occasional false steps in transition, developing zone awareness",5-10,191,4.35,8.82
Aeneas Peebles,"Peebles is a powerful, compact interior defensive lineman with good quickness and disruptive ability. He possesses good first-step quickness for his size, with the ability to shoot gaps and penetrate into the backfield. Peebles demonstrates good hand usage and natural leverage, effectively shedding blocks to make plays. His motor runs consistently hot, pursuing plays with relentless effort and finishing tackles with authority. In run defense, he anchors effectively against double teams and maintains gap integrity with good discipline.","Natural leverage, power, quickness, hand usage, motor, run defense ability, block shedding, gap integrity","Limited height may affect pass rush impact, still developing pass rush moves beyond bull rush, can improve conditioning for more consistent three-down impact",6-0,282,4.94,7.03
Emery Jones Jr,"Jones is an athletic offensive tackle with excellent movement skills and developing technical refinement. He displays good initial quickness in pass protection, with the lateral agility to mirror speed rushers. Jones' length is an asset, allowing him to establish first contact and keep defenders at bay. In the run game, he demonstrates good mobility to reach defenders on the perimeter and work to the second level. Jones shows competitive toughness, finishing blocks with physicality and looking for work downfield.","Athletic movement skills, length, lateral agility, second level mobility, competitive toughness, developmental upside, run blocking mobility, recovery ability","Still developing play strength and anchor, needs more consistent hand placement in pass protection, occasional lapses in technique when facing counter moves",6-5,315,5.3,
